민원일자,민원위치,민원내용,위도,경도
2020-02-25,전라북도 완주군 봉동읍 장구리 90-8 (지방도 799호선 일부구간),포트홀 발생으로 인한 사고위험이 있어 보수요청,35.9724309,127.1247336
2020-03-07,전라북도 완주군 삼례읍 신금리 431-12번지 일원,도로 침하 보수요청,35.9196433,127.0904116
2020-03-18,전라북도 완주군 화산면 우월리 (지방도 740호선 일부구간),포트홀 보수 요청,36.0508863,127.1715291
2020-03-20,전라북도 군산시 옥구읍 어은리 5-71번지 일원,과속방지턱 보수요청,35.8993821,126.6857535
2020-03-23,전라북도 김제시 만경읍 지평선로 2167 일원,과속방지턱 설치요청,35.8565406,126.8103494
2020-03-28,전라북도 부안군 주산면 소산리 327-1,과속방지턱 설치요청,35.6509957,126.7059028
2020-04-29,전라북도 임실군 덕치면 가곡리 829 일원 (지방도 717호선),도로 구간내 급커브에 따른 사고 위험으로 도로 선형개량,35.5054342,127.1846145
2020-05-04,전라북도 순창군 순창읍 교성리 (지방도 729호선 일부구간),포트홀 보수 요청,35.3613195,127.1277042
2020-05-12,전라북도 군산시 회현면 금광리 1249-722,과속방지턱 설치요청,35.895457,126.7392001
2020-05-12,전라북도 진안군 정천면 월평리 239-2,도로공사 장기로 안전운전 방해 및 조기공사 추진요청,35.8390214,127.4449206
2020-05-14,전라북도 익산시 함열읍 와리 814 (지방도 724호선 일부구간),포트홀 보수요청,36.0732998,126.9608563
2020-05-16,전라북도 완주군 이서면 상개리 일원 (지방도 713호선 일부구간),도로노면 불량으로 인한 보수 요청,35.8198549,127.0332013
2020-05-18,전라북도 군산시 옥구읍 선제리 93-26번지 일원,과속방지턱 설치요청,35.9233674,126.6876736
2020-05-18,전라북도 장수군 장수읍 용계리 1211-3 인근,주택 진입로 단차 보수요청,35.6178652,127.4853445
2020-05-21,관촌교차로 (지방도 745호선 일부구간),포장 보수요청,35.85584771,126.8128646
2020-05-22,전라북도 군산시 임피면 술산리 758-5번지 인근,과속방지턱 보수요청,35.9584102,126.8703839
2020-05-26,전라북도 부안군 백산면 덕신리 977-4번지 일원,과속방지턱 설치요청,35.7178242,126.7828588
2020-05-27,전라북도 익산시 여산면 제남리 281번지 일원,과속방지턱 설치요청,36.0588583,127.0803897
2020-06-08,전라북도 장수군 장수읍 용계리 923번지 일원,과속방지턱 설치요청,35.6190258,127.4882227
2020-06-17,전라북도 김제시 죽산면 종신리 652-1번지 일원,과속방지턱 설치요청,35.7990078,126.8050124
2020-06-22,익산 금마 서고도리 (지방도 722호선 일부구간),도로 보수요청,35.9915083,127.0422877
2020-06-25,전라북도 군산시 나포면 옥곤리 507-5,과속방지턱 설치요청,36.0313291,126.8318006
2020-07-06,전라북도 완주군 이서면 상개리 546-18,노면상태 불량에 따른 보수요청,35.8200632,127.0262686
2020-07-06,전라북도 익산시 용안면 교동리 535-1,노면상태 불량에 따른 보수요청,36.1129922,126.9579933
2020-07-10,전라북도 진안군 정천면 월평리 산172-1,공사 완료 후 공사안내표지판 미철거에 따른 통행불편,35.8377341,127.4456535
2020-07-13,전라북도 완주군 봉동읍 용암리 121-8 부근,포트홀 발생,35.957845,127.1368714
2020-07-14,전라북도 익산시 함라면 신등리 1042-55,노면상태 불량에 따른 보수요청,36.0321831,126.8874797
2020-07-14,전라북도 익산시 함라면 신등리 1269-3 부근,포트홀 발생,36.0337125,126.8908868
2020-07-15,전라북도 완주군 이서면 은교리 780,노면상태 불량에 따른 보수요청,35.8206377,127.0139347
2020-07-15,전라북도 익산시 용안면 교동리 535-1,노면상태 불량에 따른 보수요청,36.1129922,126.9579933
2020-07-16,전라북도 완주군 이서면 상개리 815,노면상태 불량에 따른 보수요청,35.8198549,127.0332013
2020-07-17,전라북도 익산시 함라면 신등리 804-31 부근,"노면상태 불량에 따른 보수요청, 국가배상 요청",36.0383119,126.8934578
2020-07-17,전라북도 진안군 부귀면 두남리 744 부근,도로 파손으로 인한 복구 요청,35.8439967,127.4117535
2020-07-18,전라북도 완주군 이서면 이문리 산 145-2 부근,도로노면 불량으로 인한 보수 요청,35.8190962,126.9998245
2020-07-22,전라북도 완주군 봉동읍 은하리 산 156-2,도로노면 불량으로 인한 물고임,35.954153,127.1481895
2020-07-25,전라북도 군산시 성산면 산곡리 636 부근,과속방지턱 수리 요청,35.977922,126.8227874
2020-07-25,전라북도 김제시 만경읍~진봉면 방면 (지방도 702호선),도로노면 불량,35.8589024,126.7661033
2020-07-29,전라북도 완주군 봉동읍 용암리 102-6 부근,도로 파손으로 인한 복구 요청,35.9581101,127.1352589
2020-07-30,전라북도 완주군 봉동읍 용암리 산 36-16 부근,도로 파손으로 인한 복구 요청,35.9591074,127.1348267
2020-07-31,전라북도 완주군 봉동읍 용암리 129-2 부근,도로 파손으로 인한 복구 요청,35.9572538,127.1376328
2020-08-02,전라북도 임실군 덕치면 사곡리 414-8 부근,도로 파손으로 인한 복구 요청,35.5141551,127.1789546
2020-08-03,전라북도 김제시 만경읍 소토리 190-1 부근,도로 파손으로 인한 복구 요청,35.8871711,126.8296123
2020-08-03,전라북도 김제시 백구면 부용리 1040 부근,도로 파손으로 인한 복구 요청,35.8898997,126.9506066
2020-08-03,전라북도 김제시 백구면 월봉리 79-11 부근,도로 파손으로 인한 복구 요청,35.8827594,126.9543815
2020-08-09,전라북도 완주군 봉동읍 용암리 744-1 부근,도로 파손으로 인한 복구 요청,35.9581305,127.1402394
2020-08-09,전라북도 진안군 진안읍 운산리 803-3 부근,도로 파손으로 인한 복구 요청,35.818843,127.4465828
2020-08-10,전라북도 완주군 이서면 상개리 815 부근,도로 파손으로 인한 복구 요청,35.8198549,127.0332013
2020-08-10,전라북도 완주군 이서면 용서리 676-17 부근,도로 파손으로 인한 복구 요청,35.821229,127.0212125
2020-08-10,전라북도 익산시 황등면 율촌리 839 부근,도로 파손으로 인한 복구 요청,36.0248431,126.9590277
2020-08-11,전라북도 김제시 만경읍 만경리 406-1 부근,도로노면 불량으로 인한 보수 요청,35.8546006,126.8208643
2020-08-11,전라북도 김제시 만경읍 몽산리 160-4 부근,도로 파손으로 인한 복구 요청,35.8544971,126.8157969
2020-08-11,전라북도 남원시 인월면 중군리 산 32-3 부근,도로 파손으로 인한 복구 요청,35.4421833,127.6091155
2020-08-11,전라북도 익산시 팔봉동 산 8-2 부근,도로노면 불량으로 인한 보수 요청,35.968437,127.0169174
2020-08-11,전라북도 김제시 만경읍 몽산리 123-1 부근 (지방도 702호선),"포장면 불량, 도로 파손으로 인한 복구 요청",35.8563086,126.8129612
2020-08-11,전라북도 진안군 부귀면 두남리 400-1 부근,도로 파손으로 인한 복구 요청,35.8438868,127.4106706
2020-08-12,전라북도 완주군 이서면 금평리 140-1 부근 (지방도 716호선),"포트홀로 인한 타이어 파손, 도로 파손으로 인한 복구 요청",35.8247924,127.0525547
2020-08-18,전라북도 순창군 풍산면 두승리 805 부근,도로 파손으로 인한 복구 요청,35.3573061,127.1755874
2020-08-19,전라북도 익산시 금마면 동고도리 179-3,도로 파손으로 인한 복구 요청,35.9882935,127.0620051
2020-08-21,"전라북도 완주군 이서면 이문리 산 150-6, 은교리 780 부근","완주군 이서면 이문리 산 150-6, 은교리 780 부근 도로포장 불량",35.8205534,127.0073037
2020-08-23,전라북도 완주군 운주면 완창리 산 1-6 부근,도로 파손으로 인한 복구 요청,36.1087367,127.2639907
2020-08-25,전라북도 김제시 진봉면 정당리 706-2,도로 파손으로 인한 복구 요청,35.8580227,126.8011436
2020-08-25,전라북도 김제시 진봉면 정당리 706-2 부근,과속방지턱 수리 요청,35.8580227,126.8011436
2020-08-26,전라북도 김제시 만경읍 장산리 583 부근,김제시 만경읍 장산리 583 부근 도로포장 불량,35.8555952,126.8391969
2020-08-26,전라북도 완주군 화산면 운곡로 303번지 부근,과속방지턱 설치 요청,36.0638889,127.1877404
2020-08-27,전라북도 김제시 만경읍 몽산리 123-3 부근,도로 파손으로 인한 복구 요청,35.8559747,126.8124614
2020-08-27,전라북도 완주군 봉동읍 제내리 348-32 부근,완주군 봉동읍 제내리 348-32 부근 도로포장 불량,35.9803395,127.1205268
2020-08-28,전라북도 김제시 만경읍 만경리 90-3 부근,도로 파손으로 인한 복구 요청,35.8541693,126.8269434
2020-08-29,전라북도 익산시 망성면 어량리 1697-13,도로 파손으로 인한 복구 요청,36.0987425,127.0178477
2020-08-29,전라북도 익산시 함열읍 남당리 722-3,도로 파손으로 인한 복구 요청,36.0762135,126.9715059
2020-08-30,전라북도 김제시 만경읍 장산리 574-2 부근,도로 파손으로 인한 복구 요청,35.8528472,126.8198622
2020-08-31,전라북도 김제시 백산면 부거리 1618 부근,도로 파손으로 인한 복구 요청,35.8433472,126.8705223
2020-09-02,전라북도 김제시 성덕면 묘라리 산 89-3,도로 파손으로 인한 복구 요청,35.8423248,126.8161948
2020-09-04,전라북도 익산시 낭산면 성남리 391-1 부근,익산시 낭산면 성남리 391-1 부근 도로포장 불량,36.052247,127.0202012
2020-09-06,전라북도 김제시 용지면 부교리 22-1 부근,포장면 불량으로 인한 덧씌우기 공사 건의,35.8183585,126.9976106
2020-09-06,불노사거리~애통리사거리,불노사거리~애통리사거리 부근 도로포장 불량,35.7175,127.153
2020-09-06,전라북도 완주군 이서면 BYC삼거리 부근,완주군 이서면 BYC삼거리 부근 도로포장 불량,35.8231117,127.0217371
2020-09-08,전라북도 남원시 송동면 신평리 1642 부근,도로 파손으로 인한 복구 요청,35.3643224,127.3481035
2020-09-09,전라북도 완주군 봉동읍 장기리 383-3 부근,도로 파손으로 인한 복구 요청,35.9384171,127.1613254
2020-09-10,전라북도 익산시 금마면 동고도리 182-5 부근,도로 파손으로 인한 복구 요청,35.996246,127.059395
2020-09-16,전라북도 정읍시 신태인읍 신용리 1404-1번지 부근,과속방지턱 설치요청,35.6812076,126.8646141
2020-09-17,전라북도 김제시 용지면 부교리 39 부근,김제시 용지면 부교리 39 부근 도로포장 불량,35.8157682,126.9918956
2020-09-20,전라북도 완주군 이서면 상개리 816 부근,완주군 이서면 상개리 816 부근 도로포장 불량,35.8198549,127.0332013
2020-09-21,전라북도 군산시 대야면 복교리 305-5 부근,과속방지턱 설치 요청,35.9152141,126.8362003
2020-09-22,전라북도 순창군 복흥면 대방리 714 부근,도로 파손으로 인한 복구 요청,35.4183797,126.9398143
2020-10-04,전라북도 진안군 진안읍 군상리 1187 부근,도로 파손으로 인한 복구 요청,35.795212,127.4258206
2020-10-05,전라북도 진안군 부귀면 두남리 460 부근,진안군 부귀면 두남리 460 부근 도로포장 불량,35.8439772,127.4081493
2020-10-05,전라북도 진안군 정천면 월평리 산82-1 부근,도로 파손으로 인한 복구 요청,35.8571533,127.4354264
2020-10-06,전라북도 김제시 금구면 옥성리 725 부근,김제IC ~ 김제IC 회전교차로까지 보수 요청,35.7809997,127.0039045
2020-10-06,전라북도 완주군 이서면 상개리 815 부근,포트홀 보수에 따른 진동 등 불편사항 발생,35.8198549,127.0332013
2020-10-20,전라북도 남원시 주생면 지당리 723 부근,남원시 주생면 지당리 723 부근 도로꺼짐,35.3827302,127.3303935
2020-10-20,"전라북도 익산시 함라면 신목리 1280-1 부근, 익산시 함라면 신목리 1277-1 부근, 익산시 함라면 신목리 1452 부근",과속방지턱 설치요청,36.0402926,126.8770488
2020-10-25,전라북도 군산시 옥산면 남내교차로,과속방지턱 설치요청,35.9339048,126.7658467
2020-10-27,전라북도 익산시 망성명 장내촌리 139-2,도로 파손으로 인한 복구 요,36.1040896,127.0487903
