노선명,구간명,AADT,승용차,버스,소형화물,중형화물,대형화물,평균교통량_계,평균교통량_비율,주말_승용차,주말_버스,주말_소형화물,주말_중형화물,주말_대형화물,주말교통량_계,주말교통량_비율,city,road_id,승용차_ESAL,버스_ESAL,소형화물_ESAL,중형화물_ESAL,대형화물_ESAL,traffic_esal,total_traffic,heavy_traffic,heavy_vehicle_ratio,traffic_score,total_sewer_length,old_sewer_length,old_sewer_ratio,average_sewer_age,sewer_score,date,min_temp,max_temp,precipitation,freeze_thaw,freeze_thaw_14d,freeze_score,rain_7d,rain_14d,rain_7d_score,rain_14d_score,rain_score,month,freeze_weight,rain_weight,sewer_weight,traffic_weight,freeze_contribution,rain_contribution,sewer_contribution,traffic_contribution,base_risk_score,interaction_bonus,risk_score,risk_level,main_risk_factor
 ,김제IC-전주시(0116-02),30038,23302,501,6494,804,66,31167,103.8,21792,395,4707,287,23,27204,90.6,전주시, |김제IC-전주시(0116-02),4.6604,426.852,25.976,1394.94,209.154,2061.5824000000002,31167,870,0.027914139955722398,58.46540973889049,2081706.65,842.95,0.00040493217428113617,7.742488395563824,0.04049321742811362,2024-01-01,-8.72,1.93,0.0,1,1.0,20,0.0,0.0,0.0,0.0,0.0,1,0.35,0.15,0.25,0.25,7.0,0.0,0.010123304357028405,14.616352434722623,21.626475739079652,0,21.626475739079652,안전,교통하중
 ,대강면-남원시(2411-03),2664,1847,67,763,71,4,2752,103.3,1833,65,521,25,2,2446,91.8,남원시, |대강면-남원시(2411-03),0.3694,57.083999999999996,3.052,123.185,12.676,196.3664,2752,75,0.027252906976744186,0.0,670188.0,287953.6,0.42966093096265523,17.276260308101918,42.966093096265524,2025-08-01,19.81,29.41,0.0,0,0.0,0,80.05000000000001,94.03999999999999,100.0,94.66413181242078,100.0,8,0.05,0.45,0.25,0.25,0.0,45.0,10.741523274066381,0.0,55.74152327406638,0,55.74152327406638,위험,누적강수
 ,대강면-남원시(2411-03),2664,1847,67,763,71,4,2752,103.3,1833,65,521,25,2,2446,91.8,남원시, |대강면-남원시(2411-03),0.3694,57.083999999999996,3.052,123.185,12.676,196.3664,2752,75,0.027252906976744186,0.0,670188.0,287953.6,0.42966093096265523,17.276260308101918,42.966093096265524,2025-08-02,16.05,24.48,0.0,0,0.0,0,64.18,94.03999999999999,99.0909090909091,94.66413181242078,99.0909090909091,8,0.05,0.45,0.25,0.25,0.0,44.59090909090909,10.741523274066381,0.0,55.332432364975475,0,55.332432364975475,위험,누적강수
 ,대강면-남원시(2411-03),2664,1847,67,763,71,4,2752,103.3,1833,65,521,25,2,2446,91.8,남원시, |대강면-남원시(2411-03),0.3694,57.083999999999996,3.052,123.185,12.676,196.3664,2752,75,0.027252906976744186,0.0,670188.0,287953.6,0.42966093096265523,17.276260308101918,42.966093096265524,2025-08-03,21.56,28.81,2.94,0,0.0,0,58.13,96.98,90.36075036075036,98.39036755386566,98.39036755386566,8,0.05,0.45,0.25,0.25,0.0,44.27566539923955,10.741523274066381,0.0,55.01718867330593,0,55.01718867330593,위험,누적강수
 ,대강면-남원시(2411-03),2664,1847,67,763,71,4,2752,103.3,1833,65,521,25,2,2446,91.8,남원시, |대강면-남원시(2411-03),0.3694,57.083999999999996,3.052,123.185,12.676,196.3664,2752,75,0.027252906976744186,0.0,670188.0,287953.6,0.42966093096265523,17.276260308101918,42.966093096265524,2025-08-04,16.99,25.74,0.74,0,0.0,0,58.870000000000005,97.72,91.42857142857143,99.32826362484157,99.32826362484157,8,0.05,0.45,0.25,0.25,0.0,44.69771863117871,10.741523274066381,0.0,55.43924190524509,0,55.43924190524509,위험,누적강수
 ,대강면-남원시(2411-03),2664,1847,67,763,71,4,2752,103.3,1833,65,521,25,2,2446,91.8,남원시, |대강면-남원시(2411-03),0.3694,57.083999999999996,3.052,123.185,12.676,196.3664,2752,75,0.027252906976744186,0.0,670188.0,287953.6,0.42966093096265523,17.276260308101918,42.966093096265524,2025-08-05,17.24,24.95,0.0,0,0.0,0,55.900000000000006,89.82,87.14285714285715,89.31558935361215,89.31558935361215,8,0.05,0.45,0.25,0.25,0.0,40.19201520912547,10.741523274066381,0.0,50.93353848319185,0,50.93353848319185,위험,누적강수
 ,대강면-남원시(2411-03),2664,1847,67,763,71,4,2752,103.3,1833,65,521,25,2,2446,91.8,남원시, |대강면-남원시(2411-03),0.3694,57.083999999999996,3.052,123.185,12.676,196.3664,2752,75,0.027252906976744186,0.0,670188.0,287953.6,0.42966093096265523,17.276260308101918,42.966093096265524,2025-08-06,17.93,26.44,2.78,0,0.0,0,21.960000000000008,92.6,27.620504973221127,92.83903675538656,92.83903675538656,8,0.05,0.45,0.25,0.25,0.0,41.77756653992395,10.741523274066381,0.0,52.519089813990334,0,52.519089813990334,위험,누적강수
 ,대강면-남원시(2411-03),2664,1847,67,763,71,4,2752,103.3,1833,65,521,25,2,2446,91.8,남원시, |대강면-남원시(2411-03),0.3694,57.083999999999996,3.052,123.185,12.676,196.3664,2752,75,0.027252906976744186,0.0,670188.0,287953.6,0.42966093096265523,17.276260308101918,42.966093096265524,2025-08-07,16.72,23.97,0.0,0,0.0,0,6.460000000000007,92.6,7.608951707891645,92.83903675538656,92.83903675538656,8,0.05,0.45,0.25,0.25,0.0,41.77756653992395,10.741523274066381,0.0,52.519089813990334,0,52.519089813990334,위험,누적강수
 ,대강면-남원시(2411-03),2664,1847,67,763,71,4,2752,103.3,1833,65,521,25,2,2446,91.8,남원시, |대강면-남원시(2411-03),0.3694,57.083999999999996,3.052,123.185,12.676,196.3664,2752,75,0.027252906976744186,0.0,670188.0,287953.6,0.42966093096265523,17.276260308101918,42.966093096265524,2025-08-08,17.96,24.44,4.55,0,0.0,0,11.010000000000007,91.06,12.968197879858664,90.88719898605831,90.88719898605831,8,0.05,0.45,0.25,0.25,0.0,40.89923954372624,10.741523274066381,0.0,51.64076281779262,0,51.64076281779262,위험,누적강수
 ,대강면-남원시(2411-03),2664,1847,67,763,71,4,2752,103.3,1833,65,521,25,2,2446,91.8,남원시, |대강면-남원시(2411-03),0.3694,57.083999999999996,3.052,123.185,12.676,196.3664,2752,75,0.027252906976744186,0.0,670188.0,287953.6,0.42966093096265523,17.276260308101918,42.966093096265524,2025-08-09,20.42,28.12,0.0,0,0.0,0,11.010000000000007,75.19,12.968197879858664,64.27645788336933,64.27645788336933,8,0.05,0.45,0.25,0.25,0.0,28.9244060475162,10.741523274066381,0.0,39.66592932158258,0,39.66592932158258,주의,누적강수
 ,대강면-남원시(2411-03),2664,1847,67,763,71,4,2752,103.3,1833,65,521,25,2,2446,91.8,남원시, |대강면-남원시(2411-03),0.3694,57.083999999999996,3.052,123.185,12.676,196.3664,2752,75,0.027252906976744186,0.0,670188.0,287953.6,0.42966093096265523,17.276260308101918,42.966093096265524,2025-08-10,14.29,26.37,0.0,0,0.0,0,8.070000000000007,66.2,9.5053003533569,52.288228822882296,52.288228822882296,8,0.05,0.45,0.25,0.25,0.0,23.529702970297034,10.741523274066381,0.0,34.27122624436342,0,34.27122624436342,주의,누적강수
